player_registry_id,cricsheet_player_id,canonical_name,current_player_role,current_batting_style,current_bowling_style,current_bowling_type_group,batting_hand,bowling_arm,bowling_style,bowling_type_group,player_role,confidence,notes
27978,pulse:38,Ishant Sharma,bowler,"","","","","","","",bowler,1.0,""
27970,pulse:1075,Jason Holder,all_rounder,"","","","","","","",all_rounder,1.0,""
27969,pulse:1740,Jayant Yadav,all_rounder,"","","","","","","",all_rounder,1.0,""
27959,pulse:509,Jos Buttler,batter,"","","","","","","",batter,1.0,""
27973,pulse:1664,Kagiso Rabada,bowler,"","","","","","","",bowler,1.0,""
27981,pulse:3835,Kulwant Khejroliya,bowler,"","","","","","","",bowler,1.0,""
27960,pulse:20694,Kumar Kushagra,batter,"","","","","","","",batter,1.0,""
27980,pulse:20721,Luke Wood,bowler,"","","","","","","",bowler,1.0,""
27976,pulse:20692,Manav Suthar,bowler,"","","","","","","",bowler,1.0,""
27974,pulse:3840,Mohammed Siraj,bowler,"","","","","","","",bowler,1.0,""
27967,pulse:20599,Mohd. Arshad Khan,all_rounder,"","","","","","","",all_rounder,1.0,""
27965,pulse:5615,Nishant Sindhu,all_rounder,"","","","","","","",all_rounder,1.0,""
27975,pulse:5105,Prasidh Krishna,bowler,"","","","","","","",bowler,1.0,""
27971,pulse:1749,Rahul Tewatia,all_rounder,"","","","","","","",all_rounder,1.0,""
27982,pulse:2885,Rashid Khan,bowler,"","","","","","","",bowler,1.0,""
27968,pulse:7123,Sai Kishore,all_rounder,"","","","","","","",all_rounder,1.0,""
27964,pulse:20592,Sai Sudharsan,batter,"","","","","","","",batter,1.0,""
